,Mean,SEM
p01_uAdB_i0_t29,22432.94141924012,301.37646990122124
p01_uAdB_i0_t37,10311.431536919856,1581.1762855819688
p01_uBdB_i0_t29,23198.314095445203,153.44874550529633
p01_uBdB_i0_t37,13535.185805433264,588.3013279297228
p01_uCdB_i0_t29,23517.538017867042,162.41620000394317
p01_uCdB_i0_t37,13816.294985112609,432.02889699894587
p01_uDdB_i0_t29,22432.513963907342,231.81451402269641
p01_uDdB_i0_t37,13436.526450160369,278.36649544770324
p01_uEdA_i0_t37,13189.99541232568,88.17980559105028
p01_uEdB_i0_t29,21567.226485641233,166.93231074974778
p01_uEdB_i0_t37,11739.773201923887,273.41072205741915
p01_uEdC_i0_t37,11919.59419546105,248.20430600994234
p01_uFdB_i0_t29,19865.290202117278,130.9527071046423
p01_uFdB_i0_t37,10869.474070641934,219.944680965744
p01_uGdB_i0_t29,19791.99786670131,122.51986799976791
p01_uGdB_i0_t37,9812.497418001132,304.88676410094234
p01_uIdB_i0_t29,17049.62588043759,127.67125630359435
p01_uIdB_i0_t37,8366.474094612824,230.1186974856386
p01_uJdB_i0_t29,17139.577734963077,87.8381458990933
p01_uJdB_i0_t37,8313.755222755273,193.45929348054932
p01_uKdB_i0_t29,16918.970450343957,81.40396880753647
p01_uKdB_i0_t37,8368.28743088531,186.26309452008408
p01_uLdA_i0_t37,8658.8441752072,66.74337067712756
p01_uLdB_i0_t29,16693.96359036131,104.1127194954925
p01_uLdB_i0_t37,8144.538914864256,174.20553863751306
p01_uMdB_i0_t29,12970.54113417684,101.63578711437044
p01_uMdB_i0_t37,8122.960708427534,177.4642754774597
p02_uEdA_i0_t37,12240.460829176602,113.52903361796247
p02_uEdC_i0_t37,10750.736007821135,222.6789248976983
p02_uLdA_i0_t37,8740.642894375826,372.9840257956893
p02_uNdB_i0_t37,9549.999197385316,336.4611502853909
p02_uNdB_i1_t37,12877.515581815822,178.9799239685599
p03_uEdA_i0_t37,10804.440293700018,142.56250863566163
p03_uEdC_i0_t37,9670.900223255747,1512.549121645384
p03_uLdA_i0_t37,9255.557922371545,103.64843251923075
p03_uNdB_i0_t37,9357.46546910995,198.38505956270112
p03_uNdB_i1_t37,14704.311082968537,562.2284285504296
p04_uEdA_i0_t37,10823.390372867867,154.96305064605286
p04_uEdC_i0_t37,10017.106289011097,262.81736392457987
p04_uLdA_i0_t37,9621.616899530223,151.14542167898472
p04_uNdB_i0_t37,9427.969658570437,69.84070669504408
p04_uNdB_i1_t37,13323.734554961275,39.73877145912568
p05_uAdB_i0_t37,10112.687248253262,321.97825544748895
p05_uBdB_i0_t37,10841.964337916894,121.17973739718708
p05_uCdB_i0_t37,10694.632807230755,186.90956663437353
p05_uDdB_i0_t37,10173.669056767085,126.38714676552995
p05_uEdA_i0_t37,11371.846395023225,175.9317689996956
p05_uEdB_i0_t37,9920.075389365755,152.01932672354616
p05_uEdC_i0_t37,10566.088581778336,253.46831054205086
p05_uFdB_i0_t37,9367.78632515481,132.28563749775415
p05_uGdB_i0_t37,9162.743770655976,135.05896460175157
p05_uHdB_i0_t37,9357.76072525188,209.62448040974476
p05_uIdB_i0_t37,8258.794103681392,106.2677056700768
