,Mean,SEM
p01_uAdB_i0_t29,0.8699390226078519,0.01113965555046696
p01_uAdB_i0_t37,1.2044648853662907,0.02754835934565345
p01_uBdB_i0_t29,0.9010512616530704,0.00752627204360084
p01_uBdB_i0_t37,1.2033882346260714,0.05319600058407184
p01_uCdB_i0_t29,0.8624024591283852,0.0074080209338552305
p01_uCdB_i0_t37,1.216249493427847,0.018579711233748783
p01_uDdB_i0_t29,0.8896088334567719,0.005062980707271818
p01_uDdB_i0_t37,1.2582179384604018,0.013763561688110998
p01_uEdA_i0_t37,1.3071684164990736,0.009879997666427495
p01_uEdB_i0_t29,0.8944096822602831,0.009134178371929218
p01_uEdB_i0_t37,1.2750493168353576,0.017589217524118718
p01_uEdC_i0_t37,1.3458590973644953,0.016734471493802104
p01_uFdB_i0_t29,0.9284675513467083,0.003432171700882109
p01_uFdB_i0_t37,1.321057587544826,0.00982481941698611
p01_uGdB_i0_t29,0.949222902388931,0.009454874993002146
p01_uGdB_i0_t37,1.36083614155735,0.014193967643217743
p01_uIdB_i0_t29,1.0049533355141078,0.007048587140474726
p01_uIdB_i0_t37,1.4536723578197528,0.017636091534023172
p01_uJdB_i0_t29,1.0382067353685662,0.007476392611557404
p01_uJdB_i0_t37,1.4956495401759855,0.0113052760515899
p01_uKdB_i0_t29,1.0797182647514396,0.017505212405499015
p01_uKdB_i0_t37,1.5431917204859114,0.020221439724671084
p01_uLdA_i0_t37,1.612485379738402,0.021648574562970237
p01_uLdB_i0_t29,1.112527195743778,0.0067636029645513135
p01_uLdB_i0_t37,1.5691992378998898,0.018185519577761385
p01_uMdB_i0_t29,1.1489761107031542,0.007256740538913655
p01_uMdB_i0_t37,1.6242883197166031,0.021994491258483337
p02_uEdA_i0_t37,2.3107324989662446,0.017561400687544894
p02_uEdC_i0_t37,2.422305681973015,0.017515172180491836
p02_uLdA_i0_t37,2.571276283354968,0.03287366289964488
p02_uNdB_i0_t37,4.146952144636604,0.11449116334251831
p02_uNdB_i1_t37,3.975076806857589,0.18581002727813484
p03_uEdA_i0_t37,0.1808554796101154,0.006509891890135714
p03_uEdC_i0_t37,0.17314589912533684,0.005559926743194812
p03_uLdA_i0_t37,0.17137117815737343,0.010897513285699408
p03_uNdB_i0_t37,0.2522344675257848,0.008677902357365475
p03_uNdB_i1_t37,0.23863951168871989,0.0010503806993847737
p04_uEdA_i0_t37,2.159060454400523,0.02357477370662431
p04_uEdC_i0_t37,2.075916933622002,0.0229169243391101
p04_uLdA_i0_t37,2.206546910355895,0.005834347192434449
p04_uNdB_i0_t37,3.469827789854078,0.08783296597208079
p04_uNdB_i1_t37,3.461330288847007,0.11482426949991031
p05_uAdB_i0_t37,0.4363157323707842,0.007170918692791618
p05_uBdB_i0_t37,0.43090558781589017,0.005986197050614746
p05_uCdB_i0_t37,0.4321759529628048,0.005005462394502524
p05_uDdB_i0_t37,0.4466363327502123,0.00392503155532323
p05_uEdA_i0_t37,0.44498556339818546,0.006704669043689358
p05_uEdB_i0_t37,0.4599713018781825,0.007167085823287026
p05_uEdC_i0_t37,0.4355042323198251,0.005870352509613951
p05_uFdB_i0_t37,0.47588360117425266,0.009505504301997756
p05_uGdB_i0_t37,0.4811506159402913,0.011680260521921476
p05_uHdB_i0_t37,0.4877146133373012,0.005632890107371665
p05_uIdB_i0_t37,0.49343159286033256,0.010744993521803489
p05_uJdB_i0_t37,0.5159635803462297,0.009549634751745766
