,Mean,SEM
p01_uAdB_i0_t29,19569.812051737157,270.15838357678723
p01_uAdB_i0_t37,12507.930236921624,1968.437863134976
p01_uBdB_i0_t29,20856.89484516636,114.56377841993195
p01_uBdB_i0_t37,16616.439129426326,1196.2094345337375
p01_uCdB_i0_t29,20270.531903162202,84.94159998183191
p01_uCdB_i0_t37,16703.266507828128,507.533566761133
p01_uDdB_i0_t29,19940.757822928186,97.3773131575151
p01_uDdB_i0_t37,16954.575878262447,283.6147576267838
p01_uEdA_i0_t37,16982.632772904883,204.22468380087017
p01_uEdB_i0_t29,19278.817437160487,176.56196870805437
p01_uEdB_i0_t37,14853.219056446029,418.6253626063288
p01_uEdC_i0_t37,15764.221830193526,291.331407278152
p01_uFdB_i0_t29,18410.21728747027,98.10639112464291
p01_uFdB_i0_t37,14262.503242503803,191.1394609688486
p01_uGdB_i0_t29,18780.060043372585,162.908663683062
p01_uGdB_i0_t37,13261.549289699877,481.4373377724804
p01_uIdB_i0_t29,17152.796261924694,74.93298173165795
p01_uIdB_i0_t37,12071.164245178637,222.71501570680658
p01_uJdB_i0_t29,17765.548850599564,74.3189077533291
p01_uJdB_i0_t37,12278.180377130057,255.17485407894387
p01_uKdB_i0_t29,18243.78088081287,258.2015954218613
p01_uKdB_i0_t37,12835.320607287615,144.6871015448052
p01_uLdA_i0_t37,13919.320435881376,198.54356646554953
p01_uLdB_i0_t29,18550.802929810492,189.58688111942126
p01_uLdB_i0_t37,12700.421137292644,128.8308130590045
p01_uMdB_i0_t29,14839.039831381773,144.69073877620937
p01_uMdB_i0_t37,13212.302007577178,191.74695659374726
p02_uEdA_i0_t37,27443.731432725228,461.3356971748752
p02_uEdC_i0_t37,25485.988892616024,712.839426241696
p02_uLdA_i0_t37,22002.964604444413,1150.6905376447921
p02_uNdB_i0_t37,38987.5472806087,1406.8419431617924
p02_uNdB_i1_t37,50767.82712250166,2309.6407249807207
p03_uEdA_i0_t37,1966.6708549764544,90.14875137757713
p03_uEdC_i0_t37,1692.2758734044874,264.5575875764116
p03_uLdA_i0_t37,1588.8730835735325,101.71623828399316
p03_uNdB_i0_t37,2486.299872449383,173.8723587301294
p03_uNdB_i1_t37,3515.71425515338,152.26840797361692
p04_uEdA_i0_t37,22844.503678768106,418.23879434122415
p04_uEdC_i0_t37,20381.062736633423,537.8124196625414
p04_uLdA_i0_t37,20752.70502626523,329.3631247370919
p04_uNdB_i0_t37,32053.15279830376,777.924299258048
p04_uNdB_i1_t37,46317.93583860321,1629.0590506092528
p05_uAdB_i0_t37,4472.843383917202,124.88673412208996
p05_uBdB_i0_t37,4761.47006525189,97.64020219299432
p05_uCdB_i0_t37,4704.307257345359,86.71131627859673
p05_uDdB_i0_t37,4540.107197938745,53.395569677445515
p05_uEdA_i0_t37,5029.544537568799,70.33024201330355
p05_uEdB_i0_t37,4568.460207845587,125.03522766814127
p05_uEdC_i0_t37,4603.784879516843,102.24143663069535
p05_uFdB_i0_t37,4519.67550003793,143.78412600459964
p05_uGdB_i0_t37,4462.368154824359,156.77879776201652
p05_uHdB_i0_t37,4697.12853152452,86.80577730220422
